pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
2,2,"[True, True, True, True, True, True, True, True, False, True, False]",0,3,0,4,0,25,13,1,500,24.3000000000002,[3.5 2.5 3.5 3.5 2.5 2.5 3.5 0.7 0.5 1.1 0.5],36.0,0,extralarge-7agvs-4pickers-partialobs,0_ep0,1.2310645580291748
4,1,"[True, True, True, True, True, True, True, True, True, True, True]",0,3,0,4,0,25,13,4,500,24.100000000000197,[ 2.5  4.5  2.5  2.5  3.5  3.5  2.5  0.8  0.8  1.1 -0.1],36.0,1,extralarge-7agvs-4pickers-partialobs,1_ep1,1.1980884075164795
2,2,"[True, True, True, True, True, True, True, True, True, False, False]",0,6,0,1,0,28,12,3,500,27.600000000000204,[3.5 4.5 3.5 3.5 3.5 3.5 2.5 0.8 0.7 0.5 1.1],40.32,2,extralarge-7agvs-4pickers-partialobs,2_ep2,1.1682579517364502
3,1,"[True, True, False, True, True, True, True, True, True, True, False]",1,4,0,3,0,24,13,4,500,23.000000000000217,[2.5 2.5 4.5 2.5 2.5 2.5 3.5 0.6 0.8 0.2 0.9],34.56,3,extralarge-7agvs-4pickers-partialobs,3_ep3,1.2182910442352295
2,3,"[True, True, True, True, True, True, True, True, True, False, False]",0,0,0,7,0,26,9,5,500,25.700000000000177,[3.5 3.5 4.5 2.5 2.5 3.5 2.5 0.9 0.8 1.  0.5],37.44,4,extralarge-7agvs-4pickers-partialobs,4_ep4,1.21065092086792
3,1,"[True, True, True, True, True, True, True, False, True, True, True]",0,2,0,5,0,25,15,5,500,24.30000000000019,[3.5 2.5 3.5 2.5 3.5 2.5 3.5 0.8 0.5 0.8 0.7],36.0,5,extralarge-7agvs-4pickers-partialobs,5_ep5,1.223712682723999
3,1,"[True, True, True, True, True, True, True, True, False, True, True]",0,3,0,4,0,19,8,8,500,17.50000000000019,[1.5 3.5 2.5 1.5 1.5 2.5 2.5 0.6 0.4 0.2 0.8],27.36,6,extralarge-7agvs-4pickers-partialobs,6_ep6,1.2858078479766846
4,1,"[True, True, True, True, True, True, True, True, True, True, True]",0,0,0,7,0,22,5,7,500,20.800000000000185,[ 3.5  2.5  2.5  2.5  2.5  2.5  2.5  0.8  0.5 -0.3  1.3],31.68,7,extralarge-7agvs-4pickers-partialobs,7_ep7,1.1728146076202393
2,2,"[True, True, True, True, True, True, True, False, True, True, False]",0,2,0,4,0,21,15,6,500,19.7000000000002,[ 2.5  3.5  2.5  2.5  2.5  1.5  2.5  0.5  1.1  0.7 -0.1],30.24,8,extralarge-7agvs-4pickers-partialobs,8_ep8,1.2257153987884521
3,2,"[True, True, True, True, True, True, True, True, True, True, False]",0,2,0,5,0,26,20,1,500,25.700000000000202,[2.5 3.5 3.5 3.5 2.5 3.5 3.5 0.9 0.9 0.9 0.5],37.44,9,extralarge-7agvs-4pickers-partialobs,9_ep9,1.2358150482177734
