pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
4,4,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True]",0,6,1,8,0,51,56,6,500,50.99999999999956,"[3.5 2.5 2.5 2.5 2.5 3.5 3.5 2.5 3.5 4.5 3.5 2.5 3.5 3.5 1.7 1.5 0.9 1.
 0.9 1. ]",73.44,0,large-14agvs-6pickers-partialobs,0_ep0,1.6032466888427734
4,2,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False]",0,7,0,7,0,47,62,6,500,46.09999999999957,"[2.5 3.5 3.5 3.5 2.5 1.5 3.5 1.5 3.5 1.5 2.5 3.5 3.5 3.5 1.1 1.2 1.4 0.6
 0.7 1.1]",67.68,1,large-14agvs-6pickers-partialobs,1_ep1,1.519873857498169
3,3,"[True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, False]",0,7,0,7,0,50,58,6,500,50.199999999999406,"[3.5 3.5 3.5 2.5 2.5 2.5 2.5 3.5 2.5 3.5 3.5 3.5 2.5 3.5 1.2 1.6 1.5 0.8
 0.9 1.2]",72.0,2,large-14agvs-6pickers-partialobs,2_ep2,1.4547395706176758
3,3,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, False]",0,8,0,6,0,45,53,9,500,43.19999999999971,"[1.5 2.5 2.5 3.5 2.5 2.5 3.5 3.5 2.5 3.5 2.5 1.5 3.5 2.5 1.4 0.9 1.1 0.4
 1.  0.4]",64.8,3,large-14agvs-6pickers-partialobs,3_ep3,1.4094862937927246
1,5,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, False, False, False]",0,11,1,5,0,43,286,40,500,41.099999999999525,"[3.5 2.5 3.5 1.5 2.5 1.5 3.5 2.5 1.5 1.5 3.5 3.5 2.5 2.5 0.2 1.6 1.4 0.6
 0.8 0.5]",61.92,4,large-14agvs-6pickers-partialobs,4_ep4,1.5747413635253906
4,2,"[True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True]",0,4,0,10,0,47,69,7,500,46.59999999999957,"[3.5 1.5 2.5 2.5 3.5 2.5 2.5 1.5 2.5 3.5 2.5 3.5 3.5 4.5 1.2 1.8 1.3 1.6
 0.2 0.5]",67.68,5,large-14agvs-6pickers-partialobs,5_ep5,-0.9989745616912842
5,2,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True]",0,8,0,6,0,42,50,6,500,39.69999999999975,"[2.5 1.5 2.5 1.5 1.5 2.5 1.5 2.5 4.5 3.5 2.5 1.5 2.5 4.5 1.3 1.1 1.  0.1
 0.3 0.9]",60.48,6,large-14agvs-6pickers-partialobs,6_ep6,1.4156155586242676
4,2,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True]",0,8,1,8,0,48,76,11,500,47.6999999999996,"[3.5 1.5 2.5 1.5 2.5 4.5 3.5 3.5 3.5 2.5 3.5 2.5 1.5 4.5 1.9 1.4 1.8 0.3
 0.3 1. ]",69.12,7,large-14agvs-6pickers-partialobs,7_ep7,1.4146134853363037
3,3,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False]",0,8,0,6,0,53,62,5,500,52.999999999999375,"[2.5 3.5 4.5 2.5 3.5 3.5 3.5 4.5 3.5 3.5 2.5 2.5 2.5 3.5 1.6 1.4 1.8 1.
 0.5 0.7]",76.32,8,large-14agvs-6pickers-partialobs,8_ep8,1.3567514419555664
1,5,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False]",0,14,1,3,0,22,510,66,500,16.300000000000164,"[ 0.5  0.5 -0.5  3.5  3.5 -0.5  0.5  5.5  2.5 -0.5 -0.5 -0.5  1.5 -0.5
  0.7  0.7 -0.4 -0.3  0.3  0.3]",31.68,9,large-14agvs-6pickers-partialobs,9_ep9,1.3583407402038574
