pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
6,3,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",0,6,0,8,0,57,134,8,500,57.899999999999416,"[4.5 3.5 3.5 3.5 2.5 3.5 3.5 2.5 4.5 2.5 3.5 4.5 3.5 4.5 1.5 0.5 1.1 1.3
 1.4 2.1]",82.08,0,small-14agvs-6pickers-partialobs,0_ep0,1.0622615814208984
4,3,"[True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, False]",0,9,2,8,0,61,144,4,500,63.199999999999214,"[3.5 4.5 4.5 2.5 3.5 4.5 3.5 4.5 3.5 2.5 4.5 4.5 3.5 4.5 1.3 0.6 1.7 2.1
 1.9 1.6]",87.84,1,small-14agvs-6pickers-partialobs,1_ep1,1.1203243732452393
5,3,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True]",0,5,0,9,0,70,148,6,500,73.89999999999971,"[4.5 3.5 4.5 4.5 5.5 5.5 4.5 3.5 3.5 4.5 4.5 4.5 5.5 4.5 1.5 1.9 1.5 1.9
 2.  2.1]",100.8,2,small-14agvs-6pickers-partialobs,2_ep2,1.0644745826721191
1,6,"[False, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, False, False, False, False]",0,13,1,2,1,49,275,32,500,48.3999999999993,"[2.5 2.5 3.5 3.5 3.5 2.5 3.5 3.5 3.5 2.5 2.5 3.5 2.5 2.5 1.3 1.2 1.2 1.5
 0.9 0.3]",70.56,3,small-14agvs-6pickers-partialobs,3_ep3,-1.3922147750854492
4,2,"[True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, False, False, True, True]",0,10,1,5,2,63,339,36,500,65.49999999999929,"[2.5 4.5 3.5 4.5 2.5 4.5 5.5 5.5 3.5 4.5 4.5 3.5 4.5 2.5 2.1 1.6 2.1 0.4
 1.8 1.5]",90.72,4,small-14agvs-6pickers-partialobs,4_ep4,1.0626614093780518
4,4,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True]",0,2,0,14,0,68,156,9,500,71.59999999999954,"[3.5 3.5 3.5 4.5 5.5 4.5 4.5 4.5 4.5 4.5 3.5 4.5 3.5 6.5 1.3 2.4 1.3 2.
 1.7 1.9]",97.92,5,small-14agvs-6pickers-partialobs,5_ep5,1.0475709438323975
4,4,"[True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, False]",0,6,1,10,0,69,162,9,500,72.59999999999964,"[4.5 4.5 4.5 4.5 3.5 3.5 4.5 4.5 4.5 5.5 4.5 4.5 4.5 4.5 1.4 2.7 1.3 2.
 1.2 2. ]",99.36,6,small-14agvs-6pickers-partialobs,6_ep6,1.1111092567443848
4,3,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False]",0,6,0,8,0,71,182,12,500,75.0999999999997,"[4.5 3.5 3.5 4.5 5.5 4.5 4.5 4.5 4.5 5.5 4.5 4.5 5.5 4.5 1.5 2.9 1.3 1.9
 1.2 2.3]",102.24,7,small-14agvs-6pickers-partialobs,7_ep7,1.0458393096923828
6,1,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",0,5,0,9,0,70,135,9,500,74.09999999999975,"[4.5 5.5 5.5 5.5 3.5 4.5 5.5 4.5 5.5 4.5 2.5 3.5 4.5 3.5 2.2 1.1 1.9 2.2
 1.8 1.9]",100.8,8,small-14agvs-6pickers-partialobs,8_ep8,1.073490858078003
4,4,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False]",0,4,0,10,0,64,141,2,500,66.59999999999951,"[4.5 4.5 4.5 4.5 3.5 3.5 3.5 4.5 4.5 3.5 4.5 4.5 3.5 3.5 2.1 1.5 0.9 1.3
 2.2 1.6]",92.16,9,small-14agvs-6pickers-partialobs,9_ep9,1.0082976818084717
