pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
3,3,"[True, True, True, True, True, True, True, True, True, True, False]",0,3,0,5,0,44,55,1,500,47.49999999999968,[ 5.5  6.5  5.5  5.5  5.5  5.5  6.5  2.2  2.3  3.  -0.5],63.36,0,tiny-7agvs-4pickers-partialobs,0_ep0,0.5347282886505127
2,2,"[True, True, True, True, True, True, True, True, False, True, False]",0,5,0,2,0,40,44,1,500,42.39999999999982,[ 4.5  6.5  4.5  6.5  4.5  4.5  5.5  1.9  2.1  2.4 -0.5],57.6,1,tiny-7agvs-4pickers-partialobs,1_ep1,0.5442540645599365
2,2,"[True, True, False, True, True, True, True, True, True, False, False]",0,2,0,5,0,40,51,1,500,42.6999999999999,[ 5.5  3.5  5.5  4.5  4.5  7.5  5.5  1.8  2.5  2.4 -0.5],57.6,2,tiny-7agvs-4pickers-partialobs,2_ep2,0.4870007038116455
2,3,"[True, True, True, True, True, True, False, True, False, True, False]",0,6,0,1,0,31,42,2,500,31.300000000000225,[ 3.5  4.5  6.5  3.5  2.5  4.5  2.5  1.1  1.3  1.9 -0.5],44.64,3,tiny-7agvs-4pickers-partialobs,3_ep3,0.6378500461578369
2,3,"[True, True, True, True, True, True, True, True, False, True, False]",0,3,0,4,0,46,46,4,500,49.19999999999963,[ 6.5  6.5  5.5  5.5  7.5  5.5  5.5  2.5  2.   2.7 -0.5],66.24,4,tiny-7agvs-4pickers-partialobs,4_ep4,0.48109984397888184
1,2,"[True, False, True, True, True, True, True, False, True, True, False]",0,3,0,3,0,41,61,2,500,43.799999999999855,[ 4.5  5.5  4.5  5.5  5.5  6.5  5.5  2.5  2.5  1.8 -0.5],59.04,5,tiny-7agvs-4pickers-partialobs,5_ep5,0.6512625217437744
1,4,"[True, True, True, True, True, True, True, True, False, False, False]",0,7,1,0,0,11,475,29,500,7.600000000000098,[-0.5 -0.5  7.5 -0.5  0.5 -0.5  1.5 -0.4  0.3  0.7 -0.5],15.84,6,tiny-7agvs-4pickers-partialobs,6_ep6,0.5840914249420166
3,2,"[True, True, True, True, True, True, True, True, True, True, False]",0,6,0,1,0,39,56,1,500,40.99999999999989,[ 6.5  5.5  3.5  4.5  5.5  4.5  5.5  2.4  1.6  2.  -0.5],56.16,7,tiny-7agvs-4pickers-partialobs,7_ep7,0.4979422092437744
1,4,"[True, True, True, True, True, True, True, False, False, True, False]",0,7,1,0,0,4,491,30,500,-0.7000000000000146,[ 0.5 -0.5 -0.5  0.5  0.5  0.5 -0.5  0.1 -0.3 -0.5 -0.5],5.76,8,tiny-7agvs-4pickers-partialobs,8_ep8,0.4385676383972168
2,2,"[True, True, True, True, True, True, True, True, False, True, False]",0,6,0,1,0,44,42,1,500,47.1999999999997,[ 5.5  7.5  4.5  5.5  5.5  6.5  5.5  2.6  1.7  2.9 -0.5],63.36,9,tiny-7agvs-4pickers-partialobs,9_ep9,0.537067174911499
